Date,CENERGY,ALLWYN,GEK_TERNA,OTE,PPC,EYDAP,AEGEAN,MOTOR_OIL,FOYRK,VIOHALCO
2018-01-02,1.1831015348434448,4.937619209289551,4.171548843383789,7.676445960998535,1.806694507598877,4.868150234222412,5.37857723236084,11.360154151916504,4.8700151443481445,2.877864122390747
2018-01-03,1.2329567670822144,4.98464298248291,4.322215557098389,7.776573657989502,1.9604952335357666,4.844820976257324,5.41117525100708,11.517428398132324,4.72603178024292,2.962376356124878
2018-01-04,1.313491940498352,5.026965141296387,4.378714561462402,7.776573657989502,2.0846474170684814,4.891479969024658,5.37857723236084,11.493231773376465,4.72603178024292,3.0513370037078857
2018-01-05,1.3326671123504639,5.031668186187744,4.548213005065918,7.636395454406738,2.034616231918335,4.891479969024658,5.398135662078857,11.432740211486816,4.700623035430908,3.0958170890808105
2018-01-08,1.3997797966003418,5.0739898681640625,4.557629585266113,7.729847431182861,2.0994718074798584,4.922586917877197,5.443772792816162,11.614214897155762,4.7853193283081055,3.229257345199585
2018-01-09,1.4055322408676147,5.088097095489502,4.656504154205322,7.743198394775391,2.1309728622436523,4.95369291305542,5.6197991371154785,12.061844825744629,4.844606399536133,3.2826335430145264
2018-01-10,1.3844397068023682,5.102205753326416,4.6612114906311035,7.663095951080322,2.0753822326660156,4.938140392303467,5.606759548187256,12.013453483581543,4.844606399536133,3.3449058532714844
2018-01-11,1.4036149978637695,5.045774936676025,4.614129066467285,7.643070697784424,2.186563491821289,4.938140392303467,5.626317977905273,12.098138809204102,4.7853193283081055,3.411625862121582
2018-01-12,1.4764800071716309,5.102205753326416,4.6612114906311035,7.643070697784424,2.1772985458374023,5.054788589477539,5.632837772369385,12.061844825744629,4.886954307556152,3.3626980781555176
2018-01-15,1.4668926000595093,5.111609935760498,4.600004196166992,7.643070697784424,2.1680333614349365,5.085895538330078,5.632837772369385,12.037649154663086,4.912363052368164,3.3626980781555176
2018-01-16,1.4841501712799072,5.149229526519775,4.651795864105225,7.796599388122559,2.195828676223755,4.984799385070801,5.684994220733643,12.098138809204102,4.903893947601318,3.3360095024108887
2018-01-17,1.4342949390411377,5.135122776031494,4.529379844665527,7.7832489013671875,2.1309728622436523,4.930362701416016,5.717591762542725,11.795685768127441,4.827667236328125,3.269289493560791
2018-01-18,1.4381300210952759,5.196255207061768,4.48700475692749,7.843325138092041,2.114295721054077,4.891479969024658,5.67195463180542,11.674702644348145,4.8530755043029785,3.3449058532714844
2018-01-19,1.4573049545288086,5.172743797302246,4.60471248626709,8.217133522033691,2.1309728622436523,4.961470127105713,5.684994220733643,11.710999488830566,4.827667236328125,3.3804898262023926
2018-01-22,1.5052427053451538,5.18214750289917,4.632962703704834,8.177083969116211,2.2236242294311523,4.977023124694824,5.737149238586426,11.783586502075195,4.980119705200195,3.451658248901367
2018-01-23,1.4879851341247559,5.2150654792785645,4.7082953453063965,8.470792770385742,2.3144218921661377,5.054788589477539,5.815383434295654,11.856175422668457,5.0563459396362305,3.4872422218322754
2018-01-24,1.514830231666565,5.205659866333008,4.971960067749023,8.477466583251953,2.6776139736175537,5.21809720993042,5.991409778594971,11.868276596069336,5.115633487701416,3.553961992263794
2018-01-25,1.468809962272644,5.172743797302246,5.12262487411499,8.410715103149414,2.6034929752349854,5.272533893585205,5.93273401260376,11.783586502075195,5.268085479736328,3.4650020599365234
2018-01-26,1.4227899312973022,5.186850547790527,5.0096259117126465,8.490817070007324,2.714674234390259,5.186991214752197,5.815383434295654,11.795685768127441,5.2511467933654785,3.4294180870056152
2018-01-29,1.4381300210952759,5.172743797302246,5.1602911949157715,8.437414169311523,3.057483196258545,5.35029935836792,5.867538928985596,11.89246940612793,5.2511467933654785,3.5094821453094482
2018-01-30,1.3690996170043945,5.196255207061768,5.037875175476074,8.437414169311523,2.835120677947998,5.288086891174316,5.789305210113525,11.856175422668457,5.090224742889404,3.389385938644409
2018-01-31,1.3901922702789307,5.078693389892578,5.094375133514404,8.444090843200684,2.9518611431121826,5.319193363189697,5.978370666503906,12.188875198364258,4.980119705200195,3.3804898262023926
2018-02-01,1.3997797966003418,5.050477981567383,5.254456996917725,8.343963623046875,3.057483196258545,5.288086891174316,6.024007797241211,12.370348930358887,5.081754684448242,3.3626980781555176
2018-02-02,1.3959448337554932,5.045774936676025,5.188541889190674,8.190435409545898,2.9463019371032715,5.202544689178467,5.991409778594971,11.965060234069824,5.081754684448242,3.3538014888763428
2018-02-05,1.4016972780227661,4.98464298248291,4.990792751312256,8.010204315185547,2.8629159927368164,5.179214000701904,5.750188827514648,11.89246940612793,5.047876358032227,3.1981213092803955
2018-02-06,1.409367322921753,4.843568325042725,4.990792751312256,7.8633527755737305,2.7962071895599365,5.01590633392334,5.802344799041748,11.6021146774292,4.827667236328125,3.15364146232605
2018-02-07,1.4189547300338745,4.942320823669434,4.943709373474121,8.010204315185547,2.7332046031951904,5.0470123291015625,5.874058723449707,11.638410568237305,4.827667236328125,3.1981213092803955
2018-02-08,1.3997797966003418,4.834163665771484,4.953126907348633,7.916752338409424,2.647965669631958,5.0470123291015625,5.704551696777344,11.55372428894043,4.776849746704102,3.207017660140991
2018-02-09,1.3710172176361084,4.749518871307373,4.8966264724731445,7.776573657989502,2.570138692855835,4.961470127105713,5.704551696777344,11.590015411376953,4.658275127410889,3.1225051879882812
2018-02-12,1.3326671123504639,4.796543121337891,4.811878204345703,7.809948921203613,2.6034929752349854,4.938140392303467,5.528526306152344,11.456937789916992,4.607457637786865,3.0513370037078857
2018-02-13,1.275141954421997,4.791839599609375,4.849544048309326,7.809948921203613,2.529372215270996,4.992576599121094,5.67195463180542,11.42064380645752,4.632866859436035,2.9801688194274902
2018-02-14,1.2559666633605957,4.773031234741211,4.934293270111084,7.7899250984191895,2.4756345748901367,4.899257183074951,5.769746780395508,11.299662590026855,4.72603178024292,2.9712727069854736
2018-02-15,1.3115745782852173,4.848270893096924,5.150874137878418,8.143708229064941,2.622023105621338,5.023682594299316,5.952291965484619,11.323858261108398,4.819197654724121,3.0958170890808105
2018-02-16,1.3000693321228027,4.871783256530762,5.075541973114014,8.103656768798828,2.6405534744262695,5.01590633392334,5.971850872039795,11.444839477539062,4.920832633972168,3.029097080230713
2018-02-20,1.2904819250106812,4.758923530578613,4.971960067749023,8.150382995605469,2.5608737468719482,5.01590633392334,5.971850872039795,11.481133460998535,4.9631805419921875,3.0780251026153564
2018-02-21,1.2943170070648193,4.711898326873779,4.934293270111084,8.076956748962402,2.5516085624694824,5.00035285949707,5.93273401260376,11.26336669921875,4.980119705200195,3.1580891609191895
2018-02-22,1.3058218955993652,4.777732849121094,4.943709373474121,8.043581008911133,2.5738449096679688,4.961470127105713,5.997929096221924,11.009306907653809,4.954710960388184,3.189225435256958
2018-02-23,1.3058218955993652,4.787139415740967,4.971960067749023,7.956802845001221,2.633141279220581,4.899257183074951,5.997929096221924,11.069795608520508,4.920832633972168,3.2203612327575684
2018-02-26,1.2847294807434082,4.796543121337891,5.037875175476074,7.876702308654785,2.6034929752349854,4.665959358215332,5.997929096221924,11.28756332397461,4.929302215576172,3.1625373363494873
