persistence,profile_nll
0.8442079255018912,5998.0265122415285
0.8492079255018912,5996.715503051613
0.8542079255018912,5995.399338886436
0.8592079255018912,5994.078656927152
0.8642079255018912,5992.754240510074
0.8692079255018912,5991.4270473978195
0.8742079255018912,5990.098244314911
0.8792079255018912,5988.769249292809
0.8842079255018912,5987.441783773515
0.8892079255018912,5986.11793694285
0.8942079255018912,5984.800245448403
0.8992079255018912,5983.491792563063
0.9042079255018912,5982.196332074191
0.9092079255018912,5980.918443843027
0.9142079255018911,5979.663730288919
0.9192079255018912,5978.439066308561
0.9242079255018911,5977.252919806922
0.9292079255018912,5976.115766809163
0.9342079255018911,5975.040635174221
0.9392079255018911,5974.043826005776
0.9442079255018911,5973.145884707708
0.9492079255018911,5972.37292836586
0.9542079255018912,5971.7584883537
0.9592079255018912,5971.346102686665
0.9642079255018912,5971.192992686221
0.9692079255018912,5971.375264310831
0.9742079255018912,5971.995127342779
0.9792079255018912,5973.190631668869
0.9842079255018912,5975.149828034278
0.9892079255018912,5978.148649015471
0.9942079255018912,5982.8151006345115
