parameter,true_value,mean_estimate,bias,rmse,successful_replications
mu,0.02,0.024791143984119104,0.004791143984119103,0.029292808053136873,12
omega,0.05,0.06734526122538279,0.01734526122538278,0.034705746518307365,12
alpha,0.08,0.08515136687201437,0.005151366872014368,0.024441184857898975,12
beta,0.88,0.8608633676922377,-0.019136632307762257,0.03323226795304641,12
persistence,0.96,0.9460147345642521,-0.013985265435747832,0.032457163691135785,12
