method,mu,omega,alpha,beta,persistence,nll,gradient_inf_norm,iterations,function_evaluations,success,message
Custom BFGS + Armijo,-0.0008181409812588591,0.0445864343581596,0.08220053375326887,0.8820073917486223,0.9642079255018912,5971.19299268622,2.7656163098337364e-08,11,41,True,Gradient infinity norm satisfies gtol.
SciPy BFGS reference,-0.0008181409926987878,0.044586434162732044,0.08220053362193715,0.8820073920201988,0.964207925642136,5971.192992686219,1.568831174869055e-07,10,12,True,Optimization terminated successfully.
